Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-06-12 00:00:00+05:30,23344.44921875,23441.94921875,23295.94921875,23322.94921875,295600,0.0,0.0
2024-06-13 00:00:00+05:30,23480.94921875,23481.05078125,23353.900390625,23398.900390625,268300,0.0,0.0
2024-06-14 00:00:00+05:30,23464.94921875,23490.400390625,23334.25,23465.599609375,223100,0.0,0.0
2024-06-18 00:00:00+05:30,23570.80078125,23579.05078125,23499.69921875,23557.900390625,272200,0.0,0.0
2024-06-19 00:00:00+05:30,23629.849609375,23664.0,23412.900390625,23516.0,328800,0.0,0.0
2024-06-20 00:00:00+05:30,23586.150390625,23624.0,23442.599609375,23567.0,280300,0.0,0.0
2024-06-21 00:00:00+05:30,23661.150390625,23667.099609375,23398.19921875,23501.099609375,609900,0.0,0.0
2024-06-24 00:00:00+05:30,23382.30078125,23558.099609375,23350.0,23537.849609375,239400,0.0,0.0
2024-06-25 00:00:00+05:30,23577.099609375,23754.150390625,23562.05078125,23721.30078125,298100,0.0,0.0
2024-06-26 00:00:00+05:30,23723.099609375,23889.900390625,23670.44921875,23868.80078125,287800,0.0,0.0
2024-06-27 00:00:00+05:30,23881.55078125,24087.44921875,23805.400390625,24044.5,515200,0.0,0.0
2024-06-28 00:00:00+05:30,24085.900390625,24174.0,23985.80078125,24010.599609375,354800,0.0,0.0
2024-07-01 00:00:00+05:30,23992.94921875,24164.0,23992.69921875,24141.94921875,0,0.0,0.0
2024-07-02 00:00:00+05:30,24228.75,24236.349609375,24056.400390625,24123.849609375,0,0.0,0.0
2024-07-03 00:00:00+05:30,24291.75,24309.150390625,24207.099609375,24286.5,0,0.0,0.0
2024-07-04 00:00:00+05:30,24369.94921875,24401.0,24281.0,24302.150390625,251200,0.0,0.0
2024-07-05 00:00:00+05:30,24213.349609375,24363.0,24168.849609375,24323.849609375,298400,0.0,0.0
2024-07-08 00:00:00+05:30,24329.44921875,24344.599609375,24240.55078125,24320.55078125,266300,0.0,0.0
2024-07-09 00:00:00+05:30,24351.0,24443.599609375,24331.900390625,24433.19921875,250500,0.0,0.0
2024-07-10 00:00:00+05:30,24459.849609375,24461.05078125,24141.80078125,24324.44921875,292300,0.0,0.0
2024-07-11 00:00:00+05:30,24396.55078125,24402.650390625,24193.75,24315.94921875,306400,0.0,0.0
2024-07-12 00:00:00+05:30,24387.94921875,24592.19921875,24331.150390625,24502.150390625,325800,0.0,0.0
