,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
133,2024-05-12,61838.51,60600.9,60823.19,8214.5,502848342.69,61459.22,direct,
134,2024-05-13,63445.72,60758.38,61459.22,21250.01,1327733464.12,62932.29,direct,
135,2024-05-14,63097.07,61094.77,62932.29,26392.04,1636519845.72,61548.48,direct,
136,2024-05-15,66467.29,61325.48,61548.48,40708.36,2625073579.59,66245.16,direct,
137,2024-05-16,66760.54,64600.05,66245.16,24275.96,1596664354.59,65250.53,direct,
138,2024-05-17,67489.24,65120.39,65250.53,23340.48,1552274385.82,67051.35,direct,
139,2024-05-18,67397.7,66633.01,67051.35,8752.24,586174043.35,66927.56,direct,
140,2024-05-19,67696.21,65878.18,66927.56,9725.64,650338446.5,66268.25,direct,
141,2024-05-20,71546.4,66071.74,66268.25,38260.49,2624709812.32,71430.23,direct,
142,2024-05-21,71964.79,69158.99,71430.23,30747.6,2169803609.99,70141.17,direct,
143,2024-05-22,70643.89,68952.24,70141.17,22981.44,1603267534.2,69123.56,direct,
144,2024-05-23,70037.76,66370.0,69123.56,28168.79,1922285401.83,67946.35,direct,
145,2024-05-24,69264.17,66613.35,67946.35,18239.62,1242012319.42,68548.33,direct,
146,2024-05-25,69599.81,68498.87,68548.33,5972.0,412212332.66,69288.95,direct,
147,2024-05-26,69511.53,68156.05,69288.95,5502.87,379159635.92,68488.29,direct,
148,2024-05-27,70613.89,68227.32,68488.29,13110.64,909946343.46,69386.83,direct,
149,2024-05-28,69533.54,67206.37,69386.83,22223.83,1514489243.92,68330.84,direct,
150,2024-05-29,68858.38,67099.33,68330.84,16353.37,1108570253.28,67576.81,direct,
151,2024-05-30,69520.94,67107.22,67576.81,20828.64,1424914242.82,68346.19,direct,
152,2024-05-31,69012.82,66605.09,68346.19,19922.04,1349659294.8,67482.25,direct,
153,2024-06-01,67831.31,67383.55,67482.25,4400.74,297719480.73,67721.6,direct,
154,2024-06-02,68409.58,67279.96,67721.6,6731.43,456585602.02,67738.74,direct,
155,2024-06-03,70283.97,67584.62,67738.74,22783.46,1575608100.17,68799.6,direct,
156,2024-06-04,71090.99,68553.54,68799.6,29746.55,2084571763.56,70548.51,direct,
157,2024-06-05,71782.2,70371.34,70548.51,21737.62,1545204312.75,71117.68,direct,
158,2024-06-06,71642.27,70113.83,71117.68,16078.4,1141567996.37,70772.35,direct,
159,2024-06-07,71943.4,68439.15,70772.35,28318.21,1992355199.22,69330.51,direct,
160,2024-06-08,69547.91,69152.66,69330.51,5753.02,399100009.36,69303.58,direct,
161,2024-06-09,69837.26,69131.01,69303.58,5137.66,357128157.69,69639.42,direct,
162,2024-06-10,70172.0,69166.61,69639.42,12116.49,843477987.58,69505.57,direct,
163,2024-06-11,69550.65,66054.78,69505.57,31800.9,2141818771.53,67319.41,direct,
164,2024-06-12,70021.47,66896.79,67319.41,31159.85,2139401386.85,68247.0,direct,
165,2024-06-13,68428.43,66224.61,68247.0,23051.5,1550737143.4,66742.54,direct,
166,2024-06-14,67317.79,65026.62,66742.54,24684.72,1633598669.38,66006.13,direct,
167,2024-06-15,66419.48,65832.26,66006.13,6139.62,406250537.71,66188.81,direct,
168,2024-06-16,66916.83,66012.05,66188.81,6512.06,433017008.55,66631.59,direct,
169,2024-06-17,67264.71,65062.53,66631.59,28974.78,1917243316.16,66481.73,direct,
170,2024-06-18,66570.67,64033.69,66481.73,35263.17,2293594296.72,65158.02,direct,
171,2024-06-19,65708.56,64656.84,65158.02,13478.88,878187235.08,64950.82,direct,
172,2024-06-20,66462.52,64527.9,64950.82,22559.77,1473091625.51,64847.89,direct,
173,2024-06-21,65018.39,63350.87,64847.89,22310.94,1427909531.59,64119.34,direct,
174,2024-06-22,64500.0,63924.68,64119.34,5570.5,358155105.44,64250.18,direct,
175,2024-06-23,64504.84,63154.88,64250.18,6504.7,416250575.81,63181.02,direct,
176,2024-06-24,63335.53,58443.98,63181.02,48177.24,2938115761.51,60270.95,direct,
177,2024-06-25,62385.37,60232.04,60270.95,31697.13,1946492862.08,61796.56,direct,
178,2024-06-26,62471.55,60684.69,61796.56,23423.63,1436803387.64,60824.43,direct,
179,2024-06-27,62341.3,60562.27,60824.43,22562.67,1385461549.94,61630.1,direct,
180,2024-06-28,62168.03,59907.92,61630.1,24288.31,1481619028.88,60324.3,direct,
181,2024-06-29,61129.31,60294.22,60324.3,9214.26,560710968.57,60905.3,direct,
182,2024-06-30,62949.76,60637.5,60905.3,12626.61,778765578.43,62685.88,direct,
183,2024-07-01,63800.98,62462.2,62685.88,25708.72,1623104957.15,62841.27,direct,
184,2024-07-02,63219.74,61453.08,62841.27,20510.77,1278702453.96,62044.48,direct,
185,2024-07-03,62198.73,59373.07,62044.48,27365.92,1653064013.62,60157.2,direct,
186,2024-07-04,60428.43,56728.63,60157.2,40351.82,2342236881.51,57041.11,direct,
187,2024-07-05,57494.97,53528.09,57041.11,57490.15,3198812323.21,56646.24,direct,
188,2024-07-06,58495.08,56035.03,56646.24,18766.95,1072779742.28,58255.65,direct,
189,2024-07-07,58452.39,55734.13,58255.65,18402.28,1053256457.42,55866.6,direct,
190,2024-07-08,58166.93,54305.08,55866.6,43439.51,2441024283.07,56709.76,direct,
191,2024-07-09,58289.53,56296.1,56709.76,29452.6,1692558128.7,58047.2,direct,
192,2024-07-10,59463.57,57165.19,58047.2,28064.27,1631984559.89,57725.78,direct,
193,2024-07-11,59494.11,57072.63,57725.78,29764.17,1729366992.27,57348.75,direct,
194,2024-07-12,58543.78,56554.34,57348.75,27242.71,1567843358.24,57913.68,direct,
195,2024-07-13,59866.89,57784.15,57913.68,13963.3,819172857.7,59231.06,direct,
196,2024-07-14,61424.95,59222.6,59231.06,20080.87,1207899406.9,60818.77,direct,
0,2024-07-14,61424.95,59222.6,59231.06,20080.87,1207899406.9,60818.77,direct,
1,2024-07-15,63786.04,60688.12,60818.77,31520.87,1976419696.19,63139.79,direct,
