time,close
2023-01-01 05:30:00,16613.87
2023-01-02 05:30:00,16670.08
2023-01-03 05:30:00,16670.16
2023-01-04 05:30:00,16846.82
2023-01-05 05:30:00,16825.87
2023-01-06 05:30:00,16946.16
2023-01-07 05:30:00,16942.73
2023-01-08 05:30:00,17115.81
2023-01-09 05:30:00,17179.03
2023-01-10 05:30:00,17442.44
2023-01-11 05:30:00,17938.0
2023-01-12 05:30:00,18849.0
2023-01-13 05:30:00,19932.05
2023-01-14 05:30:00,20954.52
2023-01-15 05:30:00,20878.94
2023-01-16 05:30:00,21188.92
2023-01-17 05:30:00,21136.12
2023-01-18 05:30:00,20678.47
2023-01-19 05:30:00,21082.28
2023-01-20 05:30:00,22676.2
2023-01-21 05:30:00,22789.92
2023-01-22 05:30:00,22714.99
2023-01-23 05:30:00,22917.47
2023-01-24 05:30:00,22637.8
2023-01-25 05:30:00,23066.28
2023-01-26 05:30:00,23009.15
2023-01-27 05:30:00,23077.75
2023-01-28 05:30:00,23031.02
2023-01-29 05:30:00,23747.26
2023-01-30 05:30:00,22833.34
2023-01-31 05:30:00,23129.7
2023-02-01 05:30:00,23730.52
2023-02-02 05:30:00,23470.8
2023-02-03 05:30:00,23437.21
2023-02-04 05:30:00,23332.1
2023-02-05 05:30:00,22940.79
2023-02-06 05:30:00,22761.44
2023-02-07 05:30:00,23252.78
2023-02-08 05:30:00,22961.13
2023-02-09 05:30:00,21807.55
2023-02-10 05:30:00,21634.86
2023-02-11 05:30:00,21862.19
2023-02-12 05:30:00,21790.14
2023-02-13 05:30:00,21787.77
2023-02-14 05:30:00,22208.56
2023-02-15 05:30:00,24332.21
2023-02-16 05:30:00,23533.22
2023-02-17 05:30:00,24578.28
2023-02-18 05:30:00,24638.27
2023-02-19 05:30:00,24287.53
2023-02-20 05:30:00,24838.09
2023-02-21 05:30:00,24450.5
2023-02-22 05:30:00,24186.92
2023-02-23 05:30:00,23941.1
2023-02-24 05:30:00,23189.78
2023-02-25 05:30:00,23168.68
